,Time Window,Mac,RSSI,Frame_length,MAC Period,Occurrences,Fingerprint,No.,latitude,longitude,gnss_altitude,Classification,utm_x,utm_y,distance
52,1060.0,d4:5c:f0:4d:b8:06,-100.0,27.0,10.6,0.2,Q_670E335B,26116734,58.66470337,16.45551491,209.3000031,3.0,584430.0547034352,6503633.5859030485,166.81005372000593
51,1060.0,65:35:ab:b3:d1:e0,-98.0,18.0,10.6,0.2,a,26116735,58.66470337,16.45551491,209.3000031,5.0,584430.0547034352,6503633.5859030485,140.6527242105238
57,1065.0,5e:56:88:7a:1d:09,-97.0,17.0,10.6,0.2,a,26116737,58.66469955,16.45550919,209.1000061,49.0,584429.7321657403,6503633.153428816,129.1549665014884
56,1065.0,59:99:99:47:16:29,-101.0,28.0,10.6,0.2,a,26116738,58.66469955,16.45550919,209.1000061,10.0,584429.7321657403,6503633.153428816,181.65997883753266
55,1065.0,56:01:80:05:e1:b7,-104.0,22.0,10.6,0.2,a,26116752,58.66478348,16.45551109,211.8999939,23.0,584429.639582323,6503642.4996016715,234.62288481422624
53,1065.0,1b:b2:42:44:72:86,-96.5,31.0,10.6,0.8,a,26116753,58.66478348,16.45551109,211.8999939,6.0,584429.639582323,6503642.4996016715,123.76350284724813
54,1065.0,4d:d9:33:78:f0:00,-98.0,24.0,10.6,0.2,a,26116755,58.66478348,16.45551109,211.8999939,13.0,584429.639582323,6503642.4996016715,140.6527242105238
59,1070.0,1b:b2:42:44:72:86,-94.0,31.0,10.6,0.6,a,26116759,58.66482162,16.45551872,211.5,6.0,584429.9899792727,6503646.755266233,100.0
58,1070.0,00:15:f3:25:90:c1,-100.0,31.0,10.6,0.2,3M CH1-0C1,26116763,58.66482162,16.45551872,211.5,33.0,584429.9899792727,6503646.755266233,166.81005372000593
60,1070.0,d4:5c:f0:4d:b8:06,-97.0,27.0,10.6,0.2,Q_670E335B,26116764,58.66490173,16.45553207,212.8000031,3.0,584430.570734408,6503655.690578486,129.1549665014884
62,1075.0,65:35:ab:b3:d1:e0,-97.0,18.0,10.6,0.2,a,26116773,58.66493988,16.4555397,212.8000031,5.0,584430.9211042501,6503659.947356504,129.1549665014884
63,1075.0,d4:5c:f0:4d:b8:06,-94.0,27.0,10.6,0.6,Q_670E335B,26116774,58.66496658333333,16.455544149999998,212.96666976666666,3.0,584431.1146878215,6503662.925794008,100.0
61,1075.0,08:3a:8d:32:64:16,-96.5,27.0,10.6,0.4,ZAG002189,26116775,58.664979935,16.455546374999997,213.0500031,11.0,584431.2114794522,6503664.415012766,123.76350284724813
70,1085.0,d4:5c:f0:4d:b8:06,-95.0,27.0,10.6,3.0,Q_670E335B,26116796,58.665102897333334,16.455561064,212.97332968666666,3.0,584431.7663492063,6503678.122687058,108.90229622637305
65,1085.0,65:35:ab:b3:d1:e0,-99.5,18.0,10.6,0.4,a,26116797,58.66514206,16.455566405,212.5999985,5.0,584431.9815043668,6503682.489322307,159.84671064343198
64,1085.0,08:3a:8d:32:64:16,-97.0,36.0,10.6,1.2,ZAG002189,26116801,58.665058140000006,16.45555496,213.3999939,11.0,584431.5204566942,6503673.132246825,129.1549665014884
66,1085.0,6e:32:5d:a7:26:59,-92.0,17.0,10.6,0.2,a,26116804,58.66505814,16.45555496,213.3999939,49.0,584431.5204566942,6503673.132246825,84.31909292866256
68,1085.0,c5:7b:cc:06:8a:51,-92.0,41.333333333333336,10.6,1.8,a,26116806,58.66511408666666,16.45556259,212.86666363333333,1.0,584431.8278221842,6503679.370297126,84.31909292866256
71,1085.0,f5:f7:c7:9e:a5:1f,-96.0,42.5,10.6,0.4,a,26116812,58.66514206,16.455566405,212.5999985,12.0,584431.9815043668,6503682.489322307,118.59710123376694
