Classification,Latitude,Longitude,Fingerprint
131.0,58.59082399251601,16.17184235763781,
136.0,58.59052025103338,16.171118918181943,
137.0,58.59056718146554,16.171156485518154,
139.0,58.59049262486518,16.171066467470308,
140.0,58.590389219406575,16.171073853500676,
135.0,58.59033335137967,16.171159899930036,
133.0,58.5901618645158,16.17099096158552,
132.0,58.590137572431644,16.17099601598607,
145.0,58.59089573347352,16.17156285442689,
143.0,58.59059096302121,16.171315652175153,
147.0,58.59074406035797,16.171099576694456,
152.0,58.59057783722427,16.171497143381465,
149.0,58.590633235734266,16.171427221403718,
146.0,58.59024845122749,16.17101175055487,
151.0,58.59033335137967,16.171159899930036,
148.0,58.59065857340704,16.17183061962702,
155.0,58.591279391235645,16.171049754813602,
156.0,58.59095158794519,16.171770630894308,S34b0d04689a838a7C
157.0,58.590789633950195,16.171590297167846,
158.0,58.59054015839532,16.171131308574466,
159.0,58.5904743641029,16.17143197186854,
163.0,58.59076902427431,16.171793205909992,
162.0,58.59056956207001,16.171125855947405,
167.0,58.59082761031106,16.172024019667656,
169.0,58.59043444461156,16.17106425709016,
165.0,58.59065873897435,16.171646521019337,
164.0,58.59056138367154,16.171582621497137,
173.0,58.59058850866629,16.17151061552971,
172.0,58.59091871185975,16.172220006484338,
174.0,58.59260647664201,16.172227708681476,
177.0,58.59164775937411,16.171303220595682,
180.0,58.591143245074214,16.171082968978805,
178.0,58.59071167859473,16.1717667212955,
179.0,58.59040194128189,16.171043904757486,
182.0,58.59121638185413,16.171760912170544,
175.0,58.59056956207001,16.171125855947405,
176.0,58.590845742874386,16.172167637454145,
185.0,58.59105984975983,16.171117743541473,Sd15f4fe1b9f60f71C
186.0,58.59136333633684,16.170074297069807,
189.0,58.59108127497494,16.171087338535333,
191.0,58.59064270482704,16.171533490514015,
190.0,58.590633235734266,16.171427221403718,
195.0,58.59225188018398,16.1717256459951,
192.0,58.592285898627516,16.172164973995546,
196.0,58.59202470127267,16.17236660026664,
194.0,58.59215545729257,16.1723293031935,
205.0,58.59145849669634,16.171222126031395,
198.0,58.591393027914485,16.171911192185195,
201.0,58.591139689426406,16.172134062510306,
204.0,58.59091871185975,16.172220006484338,
200.0,58.592161852972986,16.172374140321676,
206.0,58.592015541961004,16.169406190047034,
208.0,58.59154609012355,16.172236134669877,
211.0,58.59106819869417,16.172252622299006,
209.0,58.591867047344806,16.172294130361895,
207.0,58.59208413613675,16.172326577909878,
212.0,58.59099747655057,16.17181865164291,S34b0d04689a838a7C
200.0,58.592161852972986,16.172374140321676,
