"row_id","rssi","fingerprint","created_at","network_time","frame_length","type","json_time","mac","sniffer_id","location","payload","ssid","gnss_time","gnss_speed","gnss_altitude","gnss_accuracy","gnss_vsat","gnss_usat","time"
18272112,-80,"","2024-01-25 13:41:13.143361","2024-01-25 13:41:03.414302",0,"arrival_0","2024-01-25 13:41:03.774179","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000ED28EF5F30413240F6B704E09FB24D40","binary data",NULL,"2024-01-25 12:41:03","11.67000008","71.40000153","0.600000024",13,10,"2562.398534"
18273124,-80,"","2024-01-25 13:41:58.27796","2024-01-25 13:41:54.414302",0,"arrival_0","2024-01-25 13:41:55.147779","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000002697F71F36413240A1BB03C0A1B24D40","binary data",NULL,"2024-01-25 12:41:56","0","77.09999847","0.600000024",13,10,"2607.533133"
18289796,-80,"","2024-01-25 13:53:28.373412","2024-01-25 13:53:19.414301",0,"arrival_0","2024-01-25 13:53:20.286274","E9:4A:DB:FB:37:F3","B4:8A:0A:31:5E:EC","0101000020E6100000364B13002D413240AFB7070092B24D40","binary data",NULL,"2024-01-25 12:53:20","0","90.59999847","0.600000024",12,10,"3297.628585"
18273116,-80,"","2024-01-25 13:41:58.27796","2024-01-25 13:41:49.414302",0,"arrival_0","2024-01-25 13:41:50.203208","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000002697F71F36413240A1BB03C0A1B24D40","binary data",NULL,"2024-01-25 12:41:51","0","76.40000153","0.600000024",12,10,"2607.533133"
18272122,-80,"","2024-01-25 13:41:13.143361","2024-01-25 13:41:04.414301",0,"arrival_0","2024-01-25 13:41:05.308428","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000DE30FA9F36413240E9210140A1B24D40","binary data",NULL,"2024-01-25 12:41:06","0.74000001","71.69999695","0.600000024",13,10,"2562.398534"
18273556,-80,"","2024-01-25 13:42:09.314288","2024-01-25 13:42:00.414301",0,"arrival_0","2024-01-25 13:42:01.211907","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000005E5CF45F31413240C054F9BF9FB24D40","binary data",NULL,"2024-01-25 12:42:01","16.47999954","77","0.600000024",13,10,"2618.569461"
18272598,-80,"","2024-01-25 13:41:24.32703","2024-01-25 13:41:19.414301",0,"arrival_0","2024-01-25 13:41:19.456361","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000004F64FF9F37413240C56E0280A1B24D40","binary data",NULL,"2024-01-25 12:41:20","0","75.19999695","0.600000024",12,10,"2573.582203"
18265617,-80,"","2024-01-25 13:34:07.109213","2024-01-25 13:33:53.414305",0,"arrival_0","2024-01-25 13:33:53.417782","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000E8A308805C413240245C0A408AB24D40","binary data",NULL,"2024-01-25 12:33:53","20.93000031","101.5999985","0.699999988",13,10,"2136.364386"
18273125,-81,"","2024-01-25 13:41:58.27796","2024-01-25 13:41:54.414302",0,"arrival_0","2024-01-25 13:41:55.192359","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000002697F71F36413240A1BB03C0A1B24D40","binary data",NULL,"2024-01-25 12:41:56","0","77.09999847","0.600000024",13,10,"2607.533133"
18265620,-81,"","2024-01-25 13:34:07.109213","2024-01-25 13:33:53.414306",0,"arrival_0","2024-01-25 13:33:53.567319","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000E8A308805C413240245C0A408AB24D40","binary data",NULL,"2024-01-25 12:33:53","20.93000031","101.5999985","0.699999988",13,10,"2136.364386"
